"USER_ID","USER_NAME","USER_EMAIL","USER_PASS","USER_PHONE","USER_ADDRESS"
"0","112fhs","anh@gmail.com","123456789","123456789","97D Pham Ngoc Thach, Cần Thơ, Việt Nam "
"1","A_och_F","yen02.06@gmail.com","1234568","1234568","88/24 Lê Lai, An Phú, Ninh Kiều, Thành phố Cần Thơ, Việt Nam, 900000"
"2","rw005x9966","trong@gmail.com","125478","125478","76 Dong Khoi Street, Cần Thơ, Việt Nam"
"3","FairFoodCritic","tri@gmail.com","124568973","124568973","46 Lương Định Của, Phường Cái Khế, , Cái Khế, Ninh Kiều, Thành phố Cần Thơ, Việt Nam, 900000"
"4","JyriE","danh02.06@gmail.com","125460213","125460213","59-61 Ly Hong Thanh, P. Cai Khe, Q. Ninh Kieu, Cái Khế, Cần Thơ"
"5","winst0n53","tuyet@gmail.com","125648","125648","số 2 đường Nguyễn Văn Cừ (cồn Khương), phường Cái Khế, quận Ninh Kiều, thành phố Cần Thơ"
"6","z1bby","sa@gmail.com","125478963","125478963","138A Nguyen An Ninh , Cần Thơ, Việt Nam"
"7","Khalil H","da@gmail.com","123456789","123456789","178c Ong Tiem Bridge, Thanh My Area, Thuong Thanh Ward, Cai Rang District, Cần Thơ, Việt Nam, Cần Thơ, Việt Nam"
"8","donelise99","Hau@gmail.com","321456987","321456987","134/12 Trần Phú, P. Cái Khế, Q. Ninh Kiều, TP. Cần Thơ, Cần Thơ, Việt Nam"
"9","manyadm","hoa@gmail.com","987456321","987456321","8 Xuân Thủy, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam"
"10","Marcello S","hoang02.06@gmail.com","123654789","123654789","Xã Trường Long, Huyện Phong Điền, TP. Cần Thơ, Việt Namnnamed, Road Ấp Trường, Phú 1, Phong Điền, Cần Thơ, Việt Nam"
"11","wildtramper","A_och_F@gmail.com","123564789","123564789","7 Trần Đại Nghĩa, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam"
